sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
63,1106.08651,-491.7603473,-500,-8.239652702,67.89187665,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223
64,1461.428874,-301.0667794,-356.3906591,-55.32387964,3060.731658,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588
65,1715.022957,499.5686577,500,0.43134235,0.186056223,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821
66,1299.276016,-230.4334527,-500,-269.5665473,72666.12342,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608
67,1419.436769,499.3670118,500,0.632988241,0.400674113,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096
68,998.2753232,379.6556849,-343.9207124,-723.5763973,523562.8027,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083
69,626.6819438,-498.8382334,-500,-1.161766638,1.349701721,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279
70,986.8191626,483.0722402,328.2306975,-154.8415427,23975.90335,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449
71,598.2460086,-498.5953088,-500,-1.404691192,1.973157345,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095
72,955.960103,478.1450849,500,21.85491506,477.6373123,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253
73,576.190839,-499.6847321,-500,-0.315267878,0.099393835,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654
74,939.2436129,394.4777038,500,105.5222962,11134.955,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431
75,628.9234089,-475.1267016,-500,-24.87329839,618.6809728,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299
76,982.8280741,430.1437968,500,69.85620325,4879.889133,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481
77,645.0189938,-498.512662,-500,-1.487337979,2.212174264,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457
78,1014.270504,498.7594078,500,1.240592181,1.53906896,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457,0.314391434
79,634.6094731,-488.6365286,-500,-11.36347136,129.1284813,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457,0.314391434,0.118340649
80,1015.518746,499.5944528,500,0.405547189,0.164468523,0.086517567,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457,0.314391434,0.118340649,0.363607724
81,644.2289354,465.7566774,467.6094057,1.852728298,3.432602146,-0.287113513,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457,0.314391434,0.118340649,0.363607724,0.759472409
82,232.7527304,-402.3206732,-500,-97.6793268,9541.250884,0.327121234,0.209261003,0.681758223,-0.115810588,0.276903821,0.278173608,0.208189096,0.193379083,0.162849279,-0.169358449,-0.350787095,-0.113587253,0.27132654,0.636474431,0.420837299,0.449300481,0.340918457,0.314391434,0.118340649,0.363607724,0.759472409,-0.091051622
