sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
62,1311.478837,-330.9617492,-500,-169.0382508,28573.93023,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792
63,1579.342474,-181.0046816,-232.2710801,-51.26639849,2628.243614,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861
64,1743.137683,62.16238831,124.355456,62.19306773,3867.977674,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159
65,1686.465867,494.1685379,500,5.831462146,34.00595076,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795
66,1247.256588,494.1788681,500,5.821131933,33.88557698,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394
67,777.4191942,500,500,0,0,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632
68,302.8800338,-499.9586375,-500,-0.041362546,0.00171086,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859
69,651.149192,451.2044497,474.8938864,23.68943661,561.1894069,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626
70,285.0024878,-450.4326634,89.47630291,539.9089663,291501.6919,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386
71,602.1352388,-497.4709639,-500,-2.529036096,6.396023575,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589
72,1020.673916,472.511239,500,27.48876098,755.6319802,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05
73,644.5297437,-474.0839124,-216.2844803,257.799432,66460.54714,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859
74,988.5240694,-482.7311578,-500,-17.2688422,298.2129109,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582
75,1404.500277,-259.0598697,-416.3154979,-157.2556282,24729.3326,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945
76,1644.481014,239.4402467,-163.7041957,-403.1444424,162525.4414,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438
77,1451.885772,-261.437091,-366.4360299,-104.9989388,11024.77715,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531
78,1645.982623,363.1318945,500,136.8681055,18732.8783,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141
79,1358.113246,-442.4233858,-465.1439518,-22.72056598,516.2241185,0.102809686,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177
80,1714.412006,497.4359713,500,2.564028654,6.574242939,0.070344607,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177,0.075991028
81,1341.411733,498.1525588,500,1.847441244,3.41303915,0.011241852,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177,0.075991028,0.01546319
82,902.8143997,486.3197598,500,13.68024018,187.1489714,-0.005753115,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177,0.075991028,0.01546319,0.020200062
83,472.990813,-496.9708351,-500,-3.029164928,9.175840161,0.037431792,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177,0.075991028,0.01546319,0.020200062,0.070836163
84,869.8915209,-499.3543953,-500,-0.645604713,0.416805445,0.016429861,0.089770159,0.06376795,0.093174394,0.07190632,0.116593859,0.045904626,0.010319386,0.062869589,-7.17E-05,0.010417859,0.066943582,0.093132945,0.029987438,0.01277531,0.065573141,0.083225177,0.075991028,0.01546319,0.020200062,0.070836163,-0.01873569
